path,label,method
manipulated_sequences_FaceShifter_c23_438_434_frame_01.jpg,1,FaceShifter
original_sequences_youtube_c23_503_frame_01.jpg,0,youtube
original_sequences_youtube_c23_035_frame_05.jpg,0,youtube
original_sequences_youtube_c23_645_frame_02.jpg,0,youtube
original_sequences_youtube_c23_474_frame_04.jpg,0,youtube
manipulated_sequences_FaceShifter_c23_489_022_frame_03.jpg,1,FaceShifter
original_sequences_youtube_c23_243_frame_04.jpg,0,youtube
manipulated_sequences_Deepfakes_c23_372_413_frame_01.jpg,1,Deepfakes
manipulated_sequences_FaceShifter_c23_917_924_frame_04.jpg,1,FaceShifter
original_sequences_youtube_c23_197_frame_05.jpg,0,youtube
original_sequences_youtube_c23_380_frame_03.jpg,0,youtube
manipulated_sequences_FaceSwap_c23_494_445_frame_04.jpg,1,FaceSwap
manipulated_sequences_Deepfakes_c23_930_763_frame_01.jpg,1,Deepfakes
manipulated_sequences_Deepfakes_c23_903_792_frame_04.jpg,1,Deepfakes
original_sequences_youtube_c23_477_frame_04.jpg,0,youtube
manipulated_sequences_FaceShifter_c23_743_750_frame_04.jpg,1,FaceShifter
original_sequences_youtube_c23_040_frame_01.jpg,0,youtube
manipulated_sequences_Face2Face_c23_149_152_frame_03.jpg,1,Face2Face
manipulated_sequences_FaceSwap_c23_168_222_frame_03.jpg,1,FaceSwap
manipulated_sequences_NeuralTextures_c23_650_625_frame_02.jpg,1,NeuralTextures
manipulated_sequences_Face2Face_c23_482_465_frame_02.jpg,1,Face2Face
original_sequences_youtube_c23_787_frame_05.jpg,0,youtube
original_sequences_youtube_c23_049_frame_05.jpg,0,youtube
manipulated_sequences_Face2Face_c23_419_824_frame_01.jpg,1,Face2Face
original_sequences_youtube_c23_614_frame_01.jpg,0,youtube
manipulated_sequences_Face2Face_c23_307_365_frame_01.jpg,1,Face2Face
original_sequences_youtube_c23_296_frame_04.jpg,0,youtube
manipulated_sequences_NeuralTextures_c23_374_407_frame_01.jpg,1,NeuralTextures
manipulated_sequences_FaceShifter_c23_201_203_frame_05.jpg,1,FaceShifter
manipulated_sequences_NeuralTextures_c23_170_186_frame_03.jpg,1,NeuralTextures
original_sequences_youtube_c23_253_frame_04.jpg,0,youtube
original_sequences_youtube_c23_528_frame_05.jpg,0,youtube
original_sequences_youtube_c23_426_frame_01.jpg,0,youtube
original_sequences_youtube_c23_853_frame_02.jpg,0,youtube
manipulated_sequences_NeuralTextures_c23_282_238_frame_01.jpg,1,NeuralTextures
original_sequences_youtube_c23_615_frame_03.jpg,0,youtube
manipulated_sequences_Deepfakes_c23_250_461_frame_03.jpg,1,Deepfakes
original_sequences_youtube_c23_201_frame_03.jpg,0,youtube
original_sequences_youtube_c23_496_frame_03.jpg,0,youtube
manipulated_sequences_FaceShifter_c23_574_547_frame_05.jpg,1,FaceShifter
manipulated_sequences_Deepfakes_c23_693_698_frame_05.jpg,1,Deepfakes
original_sequences_youtube_c23_361_frame_05.jpg,0,youtube
manipulated_sequences_NeuralTextures_c23_907_795_frame_02.jpg,1,NeuralTextures
original_sequences_youtube_c23_638_frame_02.jpg,0,youtube
manipulated_sequences_Face2Face_c23_927_912_frame_01.jpg,1,Face2Face
original_sequences_youtube_c23_323_frame_02.jpg,0,youtube
original_sequences_youtube_c23_393_frame_04.jpg,0,youtube
original_sequences_youtube_c23_995_frame_01.jpg,0,youtube
original_sequences_youtube_c23_173_frame_03.jpg,0,youtube
original_sequences_youtube_c23_450_frame_05.jpg,0,youtube
original_sequences_youtube_c23_434_frame_02.jpg,0,youtube
manipulated_sequences_NeuralTextures_c23_141_161_frame_02.jpg,1,NeuralTextures
original_sequences_youtube_c23_283_frame_04.jpg,0,youtube
manipulated_sequences_NeuralTextures_c23_727_729_frame_04.jpg,1,NeuralTextures
original_sequences_youtube_c23_047_frame_04.jpg,0,youtube
manipulated_sequences_FaceSwap_c23_769_784_frame_02.jpg,1,FaceSwap
original_sequences_youtube_c23_590_frame_05.jpg,0,youtube
manipulated_sequences_Face2Face_c23_092_098_frame_01.jpg,1,Face2Face
original_sequences_youtube_c23_617_frame_02.jpg,0,youtube
original_sequences_youtube_c23_662_frame_04.jpg,0,youtube
original_sequences_youtube_c23_058_frame_04.jpg,0,youtube
manipulated_sequences_FaceSwap_c23_336_338_frame_05.jpg,1,FaceSwap
manipulated_sequences_FaceShifter_c23_186_170_frame_04.jpg,1,FaceShifter
original_sequences_youtube_c23_861_frame_05.jpg,0,youtube
original_sequences_youtube_c23_499_frame_01.jpg,0,youtube
manipulated_sequences_NeuralTextures_c23_650_625_frame_04.jpg,1,NeuralTextures
original_sequences_youtube_c23_141_frame_03.jpg,0,youtube
manipulated_sequences_Face2Face_c23_981_985_frame_04.jpg,1,Face2Face
manipulated_sequences_FaceShifter_c23_480_389_frame_02.jpg,1,FaceShifter
original_sequences_youtube_c23_232_frame_05.jpg,0,youtube
manipulated_sequences_Deepfakes_c23_541_523_frame_02.jpg,1,Deepfakes
original_sequences_youtube_c23_441_frame_05.jpg,0,youtube
original_sequences_youtube_c23_525_frame_01.jpg,0,youtube
original_sequences_youtube_c23_877_frame_03.jpg,0,youtube
original_sequences_youtube_c23_957_frame_05.jpg,0,youtube
